close,open,galaxy_score,alt_rank,correlation_rank,social_volume,social_dominance,average_sentiment,url_shares,tweets,tweet_spam,news,market_dominance,volatility,time
11880.504845,11794.742465,72.0,37,3.5,6332,42.76644603539106,3.7,1878,5137,2615,42,59.53800633451956,0.01156895,1597060800
11927.664658,11892.816303,74.5,50,3.8,7562,43.42732441279504,3.7,1882,6087,2699,44,59.34802149970022,0.01178758,1597064400
11900.431262,11910.958571,73.5,60,3.7,6791,39.18186014308793,3.7,1600,5601,2459,44,59.58102248452831,0.01193458,1597068000
11926.043616,11935.310129,74.5,70,3.7,6504,41.02434716790715,3.7,1637,5431,1987,31,59.28758162933022,0.01213255,1597071600
11886.68269,11885.051079,74.0,54,3.7,6978,40.86197809919775,3.8,1408,5991,1827,35,59.41328413858863,0.01223929,1597075200
11898.253807,11942.699709,72.5,53,3.7,6044,37.44965611252246,3.8,1732,5025,2137,32,59.33853928399958,0.0123612,1597078800
11889.63649,11868.621737,72.5,56,3.6,6122,36.28496917970602,3.7,2153,4883,1892,41,59.40499510464694,0.01242598,1597082400
11880.627035,11890.965786,72.0,74,3.5,5401,35.41174927878311,3.6,1420,4422,1557,32,59.42498817927677,0.01246376,1597086000
11860.462604,11872.476122,72.5,52,3.4,5688,33.92782582761706,3.7,1495,4768,1301,28,59.28752178337545,0.01249715,1597089600
11841.259776,11834.516946,72.5,52,3.3,5399,33.59676415681394,3.7,1521,4415,1181,20,59.33412273758329,0.01246308,1597093200
11830.303086,11861.947742,71.5,95,3.1,4656,35.31821284988242,3.7,1356,3717,1052,22,59.25365956418389,0.01234839,1597096800
11896.845895,11846.72158,69.5,61,3.0,4235,36.83890048712596,3.7,1275,3412,1284,27,59.26104771800075,0.01230428,1597100400
11878.84678,11897.743328,69.0,66,2.9,4001,36.58893461362597,3.6,1222,3178,1479,30,61.5459194465324,0.01228214,1597104000
11931.316753,11913.723414,67.5,67,2.8,4002,37.64816556914393,3.7,971,3329,1601,14,59.29366905555267,0.01231541,1597107600
11869.344039,11916.408048,69.5,161,2.9,4234,38.59617137648132,3.7,1225,3491,1281,24,59.33286440722623,0.01216275,1597111200
11837.282327,11822.988695,68.5,175,2.8,3727,37.02930948832589,3.7,1107,2945,1172,21,59.29136623472849,0.01202778,1597114800
11851.417063,11869.71539,73.0,138,2.8,3712,36.04933475769641,3.7,1122,2882,1151,13,59.19497341807545,0.01191876,1597118400
11860.483338,11840.867575,69.5,153,2.8,3431,34.08165292539982,3.7,916,2782,1264,12,59.18977358575424,0.01170828,1597122000
11757.414456,11808.760112,77.5,130,2.9,3824,36.36363636363637,3.7,1088,3024,1613,18,59.38968430488482,0.01140373,1597125600
11759.995917,11751.114278,72.0,137,3.0,4497,39.65608465608466,3.7,1433,3449,1898,27,59.34839058820726,0.01092062,1597129200
11714.767799,11733.463537,75.0,129,3.0,4493,37.09544253632761,3.7,1395,3481,2267,29,59.5560733182652,0.01049789,1597132800
11708.11158,11724.153986,71.0,167,2.8,4392,36.93239152371342,3.7,1361,3441,2144,37,59.55562267119229,0.01015524,1597136400
11736.291212,11721.58098,70.5,74,2.9,5218,40.25302784849186,3.7,1275,4309,1745,36,59.29056829738115,0.00943311,1597140000
11743.762185,11746.691196,73.0,70,3.5,5309,39.13460120890461,3.7,1296,4281,1914,23,59.30818481298308,0.00916603,1597143600
11664.217284,11673.652265,66.5,100,3.1,6561,38.51482242442031,3.7,1662,5304,2464,49,59.49478738567753,0.00901663,1597147200
11659.320185,11693.236483,66.0,82,3.1,7673,43.59659090909091,3.7,1642,6543,3351,52,59.49639141010219,0.0090454,1597150800
11580.507537,11626.284676,68.5,66,3.4,7270,44.31575739103932,3.7,1604,6135,2741,43,59.54122149376813,0.00933651,1597154400
